GenTimestamp,/swerve/rotout,/swerve/txout,/swerve/tyout,/swerveMod/BL/setRotation,/swerveMod/BL/setSpeed,/swerveMod/BL/speed,/swerveMod/BR/setRotation,/swerveMod/BR/setSpeed,/swerveMod/BR/speed,/swerveMod/FL/setRotation,/swerveMod/FL/setSpeed,/swerveMod/FL/speed,/swerveMod/FR/setRotation,/swerveMod/FR/setSpeed,/swerveMod/FR/speed,NT:/LiveWindow/Ungrouped/navX-Sensor[4]/Value
4.433042,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.453063,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.47302,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.493005,0,-0,-0,0,-nan,0,0,-nan,0,0,-nan,0,0,-nan,0,
4.513029,0,-0,-0.10000000149011612,-1.5707963267948966,0.10000000149011612,0,-1.5707963267948966,0.10000000149011612,0,-1.5707963267948966,0.10000000149011612,0,-1.5707963267948966,0.10000000149011612,0,
4.532968,0,-0,-0.20000000298023224,-1.3637977699425559,0.20000000298023224,-10.349927551164095,-1.3637977699425559,0.20000000298023224,-10.349927551164095,-1.3637977699425559,0.20000000298023224,-10.349927551164095,-1.3637977699425559,0.20000000298023224,-10.349927551164095,
4.552984,0,-0,-0.20000000298023224,-0.9952642480519156,0.20000000298023224,-18.42667683605716,-0.9952642480519156,0.20000000298023224,-18.42667683605716,-0.9952642480519156,0.20000000298023224,-18.42667683605716,-0.9952642480519156,0.20000000298023224,-18.42667683605716,-1.7811106000584784e-15
4.571979,0,-0,-0.30000001192092896,-0.5279521505024771,0.30000001192092896,-23.365604388771033,-0.5279521505024771,0.30000001192092896,-23.365604388771033,-0.5279521505024771,0.30000001192092896,-23.365604388771033,-0.5279521505024771,0.30000001192092896,-23.365604388771033,
4.592987,0,-0,-0.30000001192092896,-0.03212161461380547,0.30000001192092896,-24.791528065275244,-0.03212161461380547,0.30000001192092896,-24.791528065275244,-0.03212161461380547,0.30000001192092896,-24.791528065275244,-0.03212161461380547,0.30000001192092896,-24.791528065275244,2.5444438278111675e-16
4.612978,0,-0,-0.40000003576278687,0.42438177665206367,0.40000003576278687,-22.82516839915624,0.42438177665206367,0.40000003576278687,-22.82516839915624,0.42438177665206367,0.40000003576278687,-22.82516839915624,0.42438177665206367,0.40000003576278687,-22.82516839915624,8.396664711186191e-15
4.631958,0,0.05000000074505806,-0.5000000596046448,0.8845239324188998,0.5024938404390188,-18.02367268386028,0.8845239324188998,0.5024938404390188,-18.02367268386028,0.8845239324188998,0.5024938404390188,-18.02367268386028,0.8845239324188998,0.5024938404390188,-18.02367268386028,1.450333010969123e-14
4.652515,0,0.05000000074505806,-0.5000000596046448,1.0967667741394806,0.5024938404390188,-10.612140177067522,1.0967667741394806,0.5024938404390188,-10.612140177067522,1.0967667741394806,0.5024938404390188,-10.612140177067522,1.0967667741394806,0.5024938404390188,-10.612140177067522,2.1627771662892196e-14
4.672532,0,0.15000000596046448,-0.6000000834465027,1.2911421232145577,0.618465926243273,-2.45327099235901,1.2911421232145577,0.618465926243273,-2.45327099235901,1.2911421232145577,0.618465926243273,-2.45327099235901,1.2911421232145577,0.618465926243273,-2.45327099235901,2.6207770288254502e-14
4.692511,0,0.15000000596046448,-0.6000000834465027,1.1657511167448311,0.618465926243273,6.269550819051924,1.1657511167448311,0.618465926243273,6.269550819051924,1.1657511167448311,0.618465926243273,6.269550819051924,1.1657511167448311,0.618465926243273,6.269550819051924,2.6843881867247114e-14
4.712502,0,0.25,-0.7000001072883606,0.9957993424227936,0.743303538403872,13.399849924799515,0.9957993424227936,0.743303538403872,13.399849924799515,0.9957993424227936,0.743303538403872,13.399849924799515,0.9957993424227936,0.743303538403872,13.399849924799515,2.3790548320961648e-14
4.732463,0,0.3500000238418579,-0.8000001311302185,0.6895073176936108,0.8732125895208268,18.783924587906213,0.6895073176936108,0.8732125895208268,18.783924587906213,0.6895073176936108,0.8732125895208268,18.783924587906213,0.6895073176936108,0.8732125895208268,18.783924587906213,2.0737216468742076e-14
4.752461,0,0.3500000238418579,-0.8000001311302185,0.25597043052472657,0.8732125895208268,21.676844095330196,0.25597043052472657,0.8732125895208268,21.676844095330196,0.25597043052472657,0.8732125895208268,21.676844095330196,0.25597043052472657,0.8732125895208268,21.676844095330196,1.4630551070237037e-14
4.772472,0,0.4500000476837158,-0.9000001549720764,-0.12197343271964067,1.0062307498109506,21.45905129262644,-0.12197343271964067,1.0062307498109506,21.45905129262644,-0.12197343271964067,1.0062307498109506,21.45905129262644,-0.12197343271964067,1.0062307498109506,21.45905129262644,
4.792444,0,0.4500000476837158,-0.9000001549720764,-0.49737606209509844,1.0062307498109506,18.77013200434079,-0.49737606209509844,1.0062307498109506,18.77013200434079,-0.49737606209509844,1.0062307498109506,18.77013200434079,-0.49737606209509844,1.0062307498109506,18.77013200434079,1.259499621974634e-14
4.813505,0,0.5500000715255737,-1,-0.7350588847082338,1.1412712555208497,13.843926002128262,-0.7350588847082338,1.1412712555208497,13.843926002128262,-0.7350588847082338,1.1412712555208497,13.843926002128262,-0.7350588847082338,1.1412712555208497,13.843926002128262,1.4630551070237037e-14
4.832462,0,0.6500000953674316,-1,-0.8172152083491308,1.1926860961617982,7.784416913978615,-0.8172152083491308,1.1926860961617982,7.784416913978615,-0.8172152083491308,1.1926860961617982,7.784416913978615,-0.8172152083491308,1.1926860961617982,7.784416913978615,1.666610676776068e-14
4.852437,0,0.6500000953674316,-1,-0.8515337597702962,1.1926860961617982,1.715927924017552,-0.8515337597702962,1.1926860961617982,1.715927924017552,-0.8515337597702962,1.1926860961617982,1.715927924017552,-0.8515337597702962,1.1926860961617982,1.715927924017552,1.8574439810672624e-14
4.872421,0,0.5500000715255737,-1,-0.844154771057912,1.1412712555208495,-4.045550481915413,-0.844154771057912,1.1412712555208495,-4.045550481915413,-0.844154771057912,1.1412712555208495,-4.045550481915413,-0.844154771057912,1.1412712555208495,-4.045550481915413,1.8797077338660734e-14
4.893494,0,0.5500000715255737,-1,-0.6591098416727268,1.1412712555208495,-9.252246298770006,-0.6591098416727268,1.1412712555208495,-9.252246298770006,-0.6591098416727268,1.1412712555208495,-9.252246298770006,-0.6591098416727268,1.1412712555208495,-9.252246298770006,1.8160967453734016e-14
4.912471,0,0.4500000476837158,-1,-0.48345386661192946,1.096585629540779,-12.78226350296228,-0.48345386661192946,1.096585629540779,-12.78226350296228,-0.48345386661192946,1.096585629540779,-12.78226350296228,-0.48345386661192946,1.096585629540779,-12.78226350296228,1.612541175621037e-14
4.933586,0,0.3500000238418579,-1,-0.27273766658812915,1.0594810128970225,-14.844766720316695,-0.27273766658812915,1.0594810128970225,-14.844766720316695,-0.27273766658812915,1.0594810128970225,-14.844766720316695,-0.27273766658812915,1.0594810128970225,-14.844766720316695,1.4089856905719674e-14
4.952448,0,0.3500000238418579,-1,0.03401573039978589,1.0594810128970225,-15.337670611714906,0.03401573039978589,1.0594810128970225,-15.337670611714906,0.03401573039978589,1.0594810128970225,-15.337670611714906,0.03401573039978589,1.0594810128970225,-15.337670611714906,1.510763390744855e-14
4.97242,0,0.25,-1,0.2176411557213105,1.030776406404415,-13.766082983457764,0.2176411557213105,1.030776406404415,-13.766082983457764,0.2176411557213105,1.030776406404415,-13.766082983457764,0.2176411557213105,1.030776406404415,-13.766082983457764,1.8160967453734016e-14
4.992408,0,0.25,-1,0.4400943923012055,1.030776406404415,-11.122661760138314,0.4400943923012055,1.030776406404415,-11.122661760138314,0.4400943923012055,1.030776406404415,-11.122661760138314,0.4400943923012055,1.030776406404415,-11.122661760138314,2.1214299305953588e-14
